signal_id,ticker,optionSymbol,signal_date,optionType,dte,dte_bucket,adaptive_score_final,segmented_percentile,global_percentile,final_tier,segment_hist_n,segment_fallback,context_rerank_score,selector_rank_score,predicted_tier_cal,filteredtier,growth,momentum,eps_rev,quant_rating,bias,iv_crush_risk,gamma_penalty_flag,sector_score,rsi_score,priority_score,prob_calibrated,score_trend_adj_raw,score_iv_context
CRDO_2026-05-13,CRDO,O:CRDO260618C00210000,2026-05-13,call,36,22-45,1.7207991043852957,99.77914485499217,99.89282966194621,A+,130855,False,8.037671170482199,156.8452309554994,A,A,A+,A-,A-,Strong Buy,bullish,False,False,2.0,0.2036110327654394,0.1377,0.1376837068595817,-0.0078,0.0
TXN_2026-05-13,TXN,O:TXN260618C00290000,2026-05-13,call,36,22-45,1.8553932464035103,99.98013067899583,99.98335501561563,A+,130855,False,7.771342512908776,156.34549684496045,A,A,B-,A-,A,Strong Buy,bullish,False,False,2.0,1.6075936737728749,0.1377,0.1376837068595817,0.0,0.0
DELL_2026-05-13,DELL,O:DELL260618C00260000,2026-05-13,call,36,22-45,1.7015561044149785,99.73252837109779,99.86669411629003,A+,130855,False,7.6113372634253995,155.61704878621916,A,A,B+,A-,A-,Strong Buy,bullish,False,False,2.0,0.2036110327654394,0.1377,0.1376837068595817,-0.0053,0.0
NBIS_2026-05-13,NBIS,O:NBIS260618C00230000,2026-05-13,call,36,22-45,1.5463560988280889,99.2526078483818,99.588547666709,A+,130855,False,6.968363226301364,153.27159840405872,A,A,A,A,C-,Strong Buy,bullish,False,False,0.3695318349191725,0.2036110327654394,0.1377,0.1376837068595817,0.04,0.0
ON_2026-05-13,ON,O:ON260618C00125000,2026-05-13,call,36,22-45,1.740469507937834,99.82041190630851,99.91633705217326,A+,130855,False,6.500838124010598,152.6684347155983,A,A,C-,A,C+,Strong Buy,bullish,False,False,2.0,0.2036110327654394,0.1377,0.1376837068595817,0.02,0.0
INTC_2026-05-13,INTC,O:INTC260605C00100000,2026-05-13,call,23,22-45,1.2169082244931326,97.63784341446639,98.26921364129474,A,130855,False,7.35,152.24456818891954,A,A,A,A+,A-,Hold,neutral,False,False,2.0,1.6075936737728749,0.1368,0.1368054966138198,0.04,0.0
NEM_2026-05-13,NEM,O:NEM260618C00110000,2026-05-13,call,36,22-45,1.194260171098947,97.52321271636545,98.1521147160643,A,130855,False,6.289483367655427,149.1725321280404,A,A,B,B+,A-,Strong Buy,bullish,False,False,-0.2288353563222331,-0.2144186241205129,0.1377,0.1376837068595817,0.0,0.0
AKAM_2026-05-13,AKAM,O:AKAM260618C00160000,2026-05-13,call,36,22-45,1.1595917721094302,97.31458484582171,97.95967533519932,A,130855,False,5.1424268502581745,145.74214505135146,A,A,D,B,D,Hold,neutral,False,False,2.0,1.6075936737728749,0.1377,0.1376837068595817,0.0392,0.0
MDB_2026-05-13,MDB,O:MDB260618C00310000,2026-05-13,call,36,22-45,1.0502372513817486,96.12089717626381,97.2026205629801,A,130855,False,5.394297676506295,144.97613298369913,A,A,B-,C-,B+,Hold,neutral,False,False,2.0,0.2036110327654394,0.1377,0.1376837068595817,-0.0071,0.0
DDOG_2026-05-13,DDOG,O:DDOG260618C00200000,2026-05-13,call,36,22-45,1.2189736464546943,97.64854227962249,98.27826617666169,A,130855,False,4.371342512908777,144.06712735195322,A,A,C,C+,D,Hold,neutral,False,False,2.0,1.6075936737728749,0.1377,0.1376837068595817,0.0,0.0
